oper_data;oper_cv;oper_corret;oper_tipo;oper_ticker;oper_qtd;oper_preco_unit;oper_valor;oper_taxas;oper_ir;oper_moeda
03/10/2019;C;XP;FII;HGRE11;1;159,46;159,46;0,05;0;BRL
03/10/2019;C;XP;FII;HGLG11;1;153,93;153,93;0,05;0;BRL
03/10/2019;C;XP;FII;MALL11;1;102,4;102,4;0,03;0;BRL
03/10/2019;C;XP;FII;XPML11;1;113,17;113,17;0,03;0;BRL
10/10/2019;C;MyCap;Ação;VIIA3;400;7,59;3036;6,05;0;BRL
14/10/2019;V;MyCap;Ação;MGLU3;-1600;10,54;16868;10,42;0;BRL
15/10/2019;C;MyCap;Ação;MGLU3;1600;10,59;16944;9,84;0;BRL
15/10/2019;V;XP;FII;RBRR11;-1;102,96;102,96;0,03;0;BRL
16/10/2019;C;MyCap;Ação;UNIP6;51;30,31;1545,81;4,48;0;BRL
01/11/2019;V;MyCap;Ação;MGLU3;-1600;11,76;18820;5;0;BRL
04/11/2019;C;MyCap;Ação;MGLU3;1200;11,82;14187;5;0;BRL
04/11/2019;C;MyCap;Ação;MGLU3;392;11,81;4627,56;5;0;BRL
05/11/2019;C;MyCap;Ação;MGLU3;8;11,34;90,68;5;0;BRL
05/11/2019;C;MyCap;Ação;WEGE3;34;26,28;893,52;5;0;BRL
08/11/2019;C;XP;FII;ALZR11;13;113,84;1479,92;0,45;0;BRL
13/11/2019;C;XP;FII;ABCP11;7;101,68;711,76;0;0;BRL
13/11/2019;C;XP;FII;ALZR11;24;113,63;2727,12;0;0;BRL
13/11/2019;C;XP;FII;HGCR11;8;121,82;974,56;0;0;BRL
13/11/2019;C;XP;FII;HGLG11;3;169,5;508,5;0;0;BRL
13/11/2019;C;XP;FII;HGRE11;4;168,09;672,36;0;0;BRL
13/11/2019;C;XP;FII;MALL11;7;107,66;753,62;0;0;BRL
13/11/2019;C;XP;FII;RBRR11;9;106,02;954,18;0;0;BRL
13/11/2019;C;XP;FII;VRTA11;7;128,7;900,9;0;0;BRL
13/11/2019;C;XP;FII;XPLG11;2;119,53;239,06;0;0;BRL
13/11/2019;C;XP;FII;XPML11;3;130,05;390,15;0;0;BRL
14/11/2019;C;XP;FII;HGRE11;1;168,3;168,3;0;0;BRL
14/11/2019;C;XP;FII;MALL11;1;107,98;107,98;0;0;BRL
14/11/2019;C;XP;FII;VRTA11;1;127,49;127,49;0;0;BRL
14/11/2019;C;XP;FII;XPLG11;1;119,61;119,61;0;0;BRL
14/11/2019;C;XP;FII;XPML11;1;129,5;129,5;0;0;BRL
22/11/2019;C;XP;FII;ABCP11;1;100,39;100,39;0;0;BRL
22/11/2019;C;XP;FII;RBRR11;1;105,6;105,6;0;0;BRL
22/11/2019;C;XP;FII;XPML11;2;123,78;247,56;0;0;BRL
26/11/2019;C;MyCap;Ação;CVCB3;100;41,74;4174;5;0;BRL
27/11/2019;C;XP;FII;HSML11;7;104,95;734,65;0;0;BRL
03/12/2019;C;MyCap;Ação;ITSA4;100;13,38;1338;5;0;BRL
03/12/2019;C;MyCap;Ação;MYPK3;100;19,14;1914;5;0;BRL
03/12/2019;C;MyCap;Ação;CVCB3;50;40,76;2038;5;0;BRL
03/12/2019;C;MyCap;Ação;WEGE3;66;30,19;1992,54;5;0;BRL
03/12/2019;C;XP;FII;HSML11;25;112,91;2822,75;0;0;BRL
11/12/2019;V;MyCap;Ação;UNIP6;-51;29,91;1525,41;3,5;0;BRL
11/12/2019;C;XP;FII;HSML11;3;114;342;0;0;BRL
12/12/2019;V;MyCap;Ação;VIIA3;-400;10,73;4292;6,48;0;BRL
12/12/2019;C;MyCap;Ação;CVCB3;50;42,75;2137,5;5,74;0;BRL
12/12/2019;C;MyCap;Ação;WEGE3;67;33,52;2245,84;5,78;0;BRL
18/12/2019;C;XP;FII;HGCR11;12;110,05;1320,6;0;0;BRL
03/01/2020;C;MyCap;Ação;ABCB4;100;20,12;2012;5,79;0;BRL
03/01/2020;V;XP;FII;ABCP11;-1;108,6;108,6;0;0;BRL
03/01/2020;V;XP;FII;MALL11;-1;128,55;128,55;0,04;0;BRL
03/01/2020;C;XP;FII;ABCP11;8;108,7;869,6;0,27;0;BRL
03/01/2020;C;XP;FII;VRTA11;3;145,45;436,35;0,13;0;BRL
03/01/2020;C;XP;FII;XPML11;4;139,97;559,88;0,17;0;BRL
