rf_data;rf_oper;rf_corret;rf_tipo;rf_nome;rf_valor_deb;rf_valor_cred;rf_moeda
30/09/2019;Saídas;XP;Cash;XP Conta Invest;110,22;0;BRL
31/10/2019;Aplicação;BB;REF DI;BB Ref DI Plus Est;0;6500;BRL
31/10/2019;Aplicação;Inter;CDB;CDB Liquidez Diária;0;2500;BRL
31/10/2019;Rendimentos;BB;REF DI;BB Ref DI Plus Est;0;6,97;BRL
31/10/2019;Rendimentos;Inter;CDB;CDB Liquidez Diária;0;1,3;BRL
31/10/2019;Resgate;BB;REF DI;BB Ref DI Plus Est;6506,97;0;BRL
31/10/2019;Resgate;Inter;CDB;CDB Liquidez Diária;2501,3;0;BRL
31/10/2019;Saídas;MyCap;Cash;MyCap Conta Invest;86,79;0;BRL
31/10/2019;Saídas;XP;Cash;XP Conta Invest;5,5;0;BRL
01/11/2019;Entradas;MyCap;Cash;MyCap Conta Invest;0;19,12;BRL
01/11/2019;Entradas;XP;Cash;XP Conta Invest;0;5,64;BRL
30/11/2019;Aplicação;BB;REF DI;BB Ref DI Plus Est;0;12956,16;BRL
30/11/2019;Aplicação;Inter;CDB;CDB Liquidez Diária;0;9800;BRL
30/11/2019;Rendimentos;BB;REF DI;BB Ref DI Plus Est;0;1,09;BRL
30/11/2019;Rendimentos;Inter;CDB;CDB Liquidez Diária;0;2,06;BRL
30/11/2019;Resgate;BB;REF DI;BB Ref DI Plus Est;12915,2;0;BRL
30/11/2019;Resgate;Inter;CDB;CDB Liquidez Diária;9802,06;0;BRL
31/12/2019;Aplicação;BB;REF DI;BB Ref DI Plus Est;0;34167,47;BRL
31/12/2019;Aplicação;Inter;CDB;CDB Liquidez Diária;0;2500;BRL
31/12/2019;Rendimentos;BB;REF DI;BB Ref DI Plus Est;0;1,32;BRL
31/12/2019;Rendimentos;Inter;CDB;CDB Liquidez Diária;0;0,21;BRL
31/12/2019;Resgate;BB;REF DI;BB Ref DI Plus Est;26766,52;0;BRL
31/12/2019;Resgate;Inter;CDB;CDB Liquidez Diária;2500,21;0;BRL
31/12/2019;Saídas;MyCap;Cash;MyCap Conta Invest;13,86;0;BRL
31/12/2019;Saídas;XP;Cash;XP Conta Invest;23,6;0;BRL
01/01/2020;Entradas;MyCap;Cash;MyCap Conta Invest;0;195,16;BRL
01/01/2020;Entradas;XP;Cash;XP Conta Invest;0;358,01;BRL
31/01/2020;Aplicação;BB;REF DI;BB Ref DI Plus Est;0;16508,97;BRL
31/01/2020;Aplicação;Inter;CDB;CDB Liquidez Diária;0;1000;BRL
31/01/2020;Aplicação;Inter PJ;CDB;CDB Liquidez Diária;0;1500;BRL
31/01/2020;Rendimentos;BB;REF DI;BB Ref DI Plus Est;0;1,91;BRL
31/01/2020;Rendimentos;Inter PJ;CDB;CDB Liquidez Diária;0;1,29;BRL
31/01/2020;Resgate;BB;REF DI;BB Ref DI Plus Est;23007,56;0;BRL
31/01/2020;Resgate;Inter;CDB;CDB Liquidez Diária;870;0;BRL
31/01/2020;Resgate;Inter PJ;CDB;CDB Liquidez Diária;900;0;BRL
29/02/2020;Aplicação;BB;REF DI;BB Ref DI Plus Est;0;6213,66;BRL
29/02/2020;Aplicação;Inter;CDB;CDB Liquidez Diária;0;490;BRL
29/02/2020;Aplicação;Inter PJ;CDB;CDB Liquidez Diária;0;950;BRL
29/02/2020;Rendimentos;BB;REF DI;BB Ref DI Plus Est;0;0,45;BRL
29/02/2020;Rendimentos;Inter PJ;CDB;CDB Liquidez Diária;0;2,13;BRL
29/02/2020;Resgate;BB;REF DI;BB Ref DI Plus Est;6092,62;0;BRL
29/02/2020;Resgate;Inter;CDB;CDB Liquidez Diária;150;0;BRL
29/02/2020;Resgate;Inter PJ;CDB;CDB Liquidez Diária;950,31;0;BRL
29/02/2020;Saídas;MyCap;Cash;MyCap Conta Invest;216,68;0;BRL
29/02/2020;Saídas;XP;Cash;XP Conta Invest;277,19;0;BRL
01/03/2020;Entradas;MyCap;Cash;MyCap Conta Invest;0;45,46;BRL
31/03/2020;Aplicação;BB;REF DI;BB Ref DI Plus Est;0;8189,74;BRL
31/03/2020;Aplicação;Inter;CDB;CDB Liquidez Diária;0;4800;BRL
31/03/2020;Aplicação;Inter PJ;CDB;CDB Liquidez Diária;0;900;BRL
31/03/2020;Rendimentos;BB;REF DI;BB Ref DI Plus Est;0;0,71;BRL
